group,icon,op_code,vote_score
1,hot_sale,991416,22090
1,hot_sale,982849,22090
1,hot_sale,581624,22090
1,hot_sale,991402,22090
1,hot_sale,5802,22090
1,hot_sale,993862,22090
1,hot_sale,994200,22090
1,hot_sale,987984,22090
1,hot_sale,992829,22090
1,hot_sale,992261,22090
1,hot_sale,988682,22090
1,hot_sale,991408,22090
1,hot_sale,1134,22090
1,hot_sale,991880,22090
1,hot_sale,991392,22090
1,hot_sale,993958,22090
1,hot_sale,991695,22090
1,hot_sale,992859,22090
1,hot_sale,983952,22090
1,hot_sale,984197,22090
1,hot_sale,993484,22090
1,hot_sale,992846,22090
1,hot_sale,991742,22090
1,hot_sale,734529,22090
1,hot_sale,993335,22090
1,hot_sale,992598,22089
1,hot_sale,994629,22089
1,hot_sale,983885,22089
1,hot_sale,992832,22089
1,hot_sale,982223,22089
1,hot_sale,993704,22089
1,hot_sale,992863,22089
1,hot_sale,993750,22088
1,hot_sale,993646,22088
1,hot_sale,5801,22087
1,hot_sale,983253,22087
1,hot_sale,994161,22085
1,hot_sale,981645,22080
1,hot_sale,985929,22080
1,hot_sale,992850,22078
1,hot_sale,993954,21977
1,hot_sale,993330,21966
1,hot_sale,627008,21743
1,hot_sale,994060,21447
1,hot_sale,994199,19904
1,hot_sale,989695,19631
1,hot_sale,991898,18867
1,hot_sale,981648,17905
1,hot_sale,992600,17148
1,hot_sale,983389,17134
1,new_prod,994181,22090
1,new_prod,994095,22090
1,new_prod,994184,22090
1,new_prod,994182,22090
1,new_prod,982016,22090
1,new_prod,994183,22090
1,new_prod,994185,22090
1,new_prod,994186,22090
1,new_prod,994100,22090
1,new_prod,994508,22090
1,new_prod,994076,22090
1,new_prod,994546,22090
1,new_prod,994547,22090
1,new_prod,994545,22090
1,new_prod,993969,22090
1,new_prod,994654,22090
1,new_prod,992634,22090
1,new_prod,993967,22090
1,new_prod,994653,22090
1,new_prod,994536,22090
1,new_prod,994167,22090
1,new_prod,994166,22090
1,new_prod,993968,22090
1,new_prod,994652,22090
1,new_prod,994443,22090
1,new_prod,994442,22090
1,new_prod,994444,22090
1,new_prod,994099,22090
1,new_prod,994354,22090
1,new_prod,994168,22090
1,new_prod,994169,22090
1,new_prod,994165,22090
1,new_prod,994170,22090
1,new_prod,994316,22090
1,new_prod,994393,22090
1,new_prod,994392,22090
1,new_prod,994163,22090
1,new_prod,952560,22090
1,new_prod,993953,22090
1,serum,581624,22090
1,serum,985699,22090
1,serum,981965,22090
1,serum,983776,22090
1,serum,464002,22090
1,serum,991405,22090
1,serum,988081,22090
1,serum,991392,22090
1,serum,938014,22090
1,serum,581625,22090
1,serum,988600,22090
1,serum,905075,22090
1,serum,545524,22090
1,serum,982890,22090
1,serum,896120,22090
1,serum,962387,22090
1,serum,985790,22090
1,serum,991154,22090
1,serum,986715,22090
1,serum,6624,22090
1,serum,994284,22090
1,serum,992120,22090
1,serum,985254,22090
1,serum,845550,22090
1,serum,981987,22090
1,serum,986905,22090
1,serum,884516,22090
1,serum,105059,22090
1,serum,988590,22090
1,serum,984369,22090
1,serum,989317,22090
1,serum,985670,22090
1,serum,991183,22090
1,serum,981948,22090
1,serum,989677,22089
1,serum,993036,22086
1,serum,992901,22085
1,serum,962390,22085
1,serum,992942,22085
1,serum,724131,22085
1,serum,991307,22081
1,serum,986300,22080
1,serum,941502,22079
1,serum,883019,22063
1,serum,991231,21925
1,serum,157502,21092
1,serum,991943,20691
1,serum,952518,20592
1,serum,991599,20434
1,serum,538217,13986
1,facial_mask,992844,22090
1,facial_mask,5801,22090
1,facial_mask,986273,22090
1,facial_mask,984999,22090
1,facial_mask,549030,22090
1,facial_mask,987824,22090
1,facial_mask,991903,22090
1,facial_mask,5818,22090
1,facial_mask,986283,22090
1,facial_mask,5824,22090
1,facial_mask,979916,22090
1,facial_mask,357512,22090
1,facial_mask,3637,22090
1,facial_mask,971528,22090
1,facial_mask,905070,22090
1,facial_mask,988806,22090
1,facial_mask,959518,22090
1,facial_mask,985125,22090
1,facial_mask,986747,22090
1,facial_mask,521049,22090
1,facial_mask,985821,22090
1,facial_mask,983884,22090
1,facial_mask,990490,22090
1,facial_mask,984491,22090
1,facial_mask,905059,22090
1,facial_mask,988812,22090
1,facial_mask,316582,22090
1,facial_mask,878001,22090
1,facial_mask,975936,22090
1,facial_mask,990598,22090
1,facial_mask,830561,22090
1,facial_mask,293544,22090
1,facial_mask,639012,22090
1,facial_mask,381540,22089
